player_id,old_player_id,player_name_j,player_name_e,nationality,player_slot_category,last_seen_team_id,last_seen_jersey_number,created_at,updated_at
51000146,,ケレム・カンター,Kerem Kanter,トルコ,外国籍選手,693,11,2026-03-05 23:27:06.34015+00,2026-03-05 23:27:06.34015+00
51000408,,曾 祥鈞,Hsiang-chun Tseng,チャイニーズタイペイ,外国籍選手,717,88,2026-02-24 05:57:28.719254+00,2026-02-24 05:57:28.719254+00
51000165,,カイル・オクイン,Kyle O'Quinn,アメリカ合衆国,外国籍選手,697,9,2026-03-05 23:27:06.34015+00,2026-03-05 23:27:06.34015+00
51000191,,ケルヴィン・マーティン,Kelvin Martin,アメリカ合衆国,外国籍選手,698,1,2026-03-05 23:27:06.34015+00,2026-03-05 23:27:06.34015+00
32997,,エリック・マーフィー,Erik Murphy,アメリカ合衆国,外国籍選手,727,1,2026-03-05 13:29:27.395803+00,2026-03-05 13:29:27.395803+00
51000286,,ジャスティン・マッツ,Justyn Mutts,アメリカ合衆国,外国籍選手,716,25,2026-03-05 13:29:27.395803+00,2026-03-05 13:29:27.395803+00
46920,,ジュリアン・デュクリー,Julien Ducree,アメリカ合衆国,外国籍選手,698,54,2026-03-04 03:25:39.414535+00,2026-03-04 03:25:39.414535+00
51000416,,デイビッド・ヌワバ,David Nwaba,アメリカ合衆国,外国籍選手,697,2,2026-02-24 05:57:28.719254+00,2026-02-24 05:57:28.719254+00
5100000079,,チェイス・フィーラー,Chase Fieler,アメリカ合衆国,外国籍選手,1638,60,2026-03-03 07:36:27.495907+00,2026-03-03 07:36:27.495907+00
51000161,,ジェイコブ・ワイリー,Jacob Wiley,アメリカ合衆国,外国籍選手,698,0,2026-03-05 23:27:06.34015+00,2026-03-05 23:27:06.34015+00
51000164,,マイケル・ヤングジュニア,Michael Young Jr,アメリカ合衆国,外国籍選手,727,2,2026-03-05 23:27:06.34015+00,2026-03-05 23:27:06.34015+00
33042,,デクアン・ジョーンズ,DeQuan Jones,アメリカ合衆国,外国籍選手,698,18,2026-03-05 23:42:32.377315+00,2026-03-05 23:42:32.377315+00
33091,,カイル・コリンズワース,Kyle Collinsworth,アメリカ合衆国,外国籍選手,697,55,2026-03-05 23:27:06.34015+00,2026-03-05 23:27:06.34015+00
45873,,ジョン・パトリック,John Patrick,アメリカ合衆国,外国籍選手,3012,,2026-03-05 13:32:07.128183+00,2026-03-05 13:32:07.128183+00
45847,,ルーズベルト・アダムス,Roosevelt Adams,フィリピン,外国籍選手,3013,0,2026-03-05 13:32:07.128183+00,2026-03-05 13:32:07.128183+00
5100000069,45848,レイ・パークスジュニア,Ray Parks Jr.,フィリピン,外国籍選手,3013,1,2026-03-05 13:32:07.128183+00,2026-03-05 13:32:07.128183+00
51000102,45852,ドワイト・ラモス,Dwight Ramos,フィリピン,外国籍選手,3013,2,2026-03-05 13:32:07.128183+00,2026-03-05 13:32:07.128183+00
51000176,,ジャスティン・コブス,Justin Cobbs,アメリカ合衆国,外国籍選手,706,1,2026-03-05 23:27:06.34015+00,2026-03-05 23:27:06.34015+00
51000306,45854,チャン ミンクク,Min kug Chang,韓国,外国籍選手,3013,3,2026-03-05 13:32:07.128183+00,2026-03-05 13:32:07.128183+00
51000315,,ロバート・ベイカー,Robert Baker,アメリカ合衆国,外国籍選手,693,8,2026-03-05 13:29:27.395803+00,2026-03-05 13:29:27.395803+00
9382,,ジェロウム・ティルマン,Jerome Tillman,アメリカ合衆国,外国籍選手,693,33,2026-03-05 13:31:15.258153+00,2026-03-05 13:31:15.258153+00
51000324,45858,劉 駿霆,Chun-Ting Liu,中国,外国籍選手,3013,6,2026-03-05 13:32:07.128183+00,2026-03-05 13:32:07.128183+00
